id,year,Latitude,Longtitude,location,country,main_descriptor,secondary_descriptor,additional_descriptor,depth,exp_year,soc.value,soc.value_units,labmethod,crop,soil type,average slope,average elevation
100,1996,-7,107.5,Sukajadi village,Indonesia,Land use,Agroforestry,Agroforestry,0-5,2,21.2700565,Mg_ha,Walkley and Black,"Agroforestry, Bamboo, Kebun",NA,26.8,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,21.3,Mg_ha,CN analyzer,"Rice, Mung bean",Oxisol,NA,118
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,21.3,Mg_ha,CN analyzer,"Cassava, Stylosanthes guianensis, Millet, Maize, Crotalaria juncea",Oxisol,NA,118
4,2021,-3.806,102.317,Bengkulu City,Indonesia,Land use,Agroforestry,Agroforestry,0-10,NA,21.34715026,Mg_ha,Walkley and Black,Agroforestry,NA,NA,NA
96,2008,14.083,121,"Camarines Sur, Laguna and Nueva Ecija",Philippines,Intervention,Fertilization,Without fertilization,20-40,30,21.5,Mg_ha,CN analyzer,Rice,"Vertisol, Mollisol",NA,NA
43,2021,-1.884,103.268,Province of Jambi,Indonesia,Land use,Perennial,Monocrop,0-10,12,21.6,Mg_ha,CN analyzer,Rubber,Acrisol,NA,NA
1,2022,18.54,98.443,Ban Pa Pong Piang,Thailand,Intervention,Others,Upland,0-10,70,21.61,Mg_ha,Walkley and Black,Rice,Sandy clay loam - clayey loam,22.5,921.5
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – 10 Mg biochar/ha + 1.5 Mg compost/ha,0-30,1,21.621,Mg_ha,Not reported,Rice,Alfisols,NA,NA
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – chemical fertilizer (13.5 kg N/ha + 6 kg P/ha + 11.2 kg K/ha) + 1.5 Mg compost/ha,0-30,1,21.675,Mg_ha,Not reported,Rice,Alfisols,NA,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,21.7,Mg_ha,CN analyzer,"Soybean, Millet, Brachiaria ruziziensis, Stylosanthes guianensis, Sorghum, Maize",Oxisol,NA,118
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,25-40,NA,21.73684211,Mg_ha,CN analyzer,NA,Acrisols,NA,600
183,2014,16.324,107.485,Thua Thien Hue,Vietnam,Land use,Perennial,Monocrop,0-20,0.5,21.76,Mg_ha,CN analyzer,Acacia,Acrisols,17.5,44.75
43,2021,-1.739,103.314,Province of Jambi,Indonesia,Land use,Perennial,Monocrop,0-10,12,21.8,Mg_ha,CN analyzer,Rubber,"Gleysol, Acrisol",NA,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,21.8,Mg_ha,CN analyzer,"Cassava, Stylosanthes guianensis, Millet, Maize, Crotalaria juncea",Oxisol,NA,118
1,2022,18.534,98.447,Ban Pa Pong Piang,Thailand,Intervention,Others,Terraces,0-10,40,21.84,Mg_ha,Walkley and Black,Rice,Sandy loam - loam,11,994.5
3,2022,19.833,100.333,"Ban Rakpaendin, Chiang Rai Province",Thailand,Land use,Annual,Monocrop,0-5,17,21.9,Mg_ha,CN analyzer,Rice,Typic Haplustults,NA,697
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,5-15,NA,21.92105263,Mg_ha,CN analyzer,NA,Acrisols,NA,600
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,22,Mg_ha,CN analyzer,"Rice, Millet, Stylosanthes guianensis, Crotalaria juncea, Maize",Oxisol,NA,118
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,22,Mg_ha,CN analyzer,"Soybean, Millet, Brachiaria ruziziensis, Stylosanthes guianensis, Sorghum, Maize",Oxisol,NA,118
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Rotation,0-10,5,22.03367876,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
127,2020,4.438,118.049,Tawau City,Malaysia,Land use,Agroforestry,Agroforestry,10-30,17,22.04,Mg_ha,CN analyzer,Agroforestry,Typic Haplodult,NA,385
127,2020,4.438,118.049,Tawau City,Malaysia,Land use,Perennial,Monocrop,10-30,16,22.06,Mg_ha,CN analyzer,Oil palm,Typic Haplodult,NA,385
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,3,22.1,Mg_ha,CN analyzer,"Soybean, Sesame",Oxisol,NA,118
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Monocrop,20-40,3,22.1,Mg_ha,CN analyzer,Cassava,Oxisol,NA,118
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,40-60,NA,22.10526316,Mg_ha,CN analyzer,NA,Acrisols,NA,600
72,2016,10.381,106.117,Cai Lay,Vietnam,Land use,Annual,Rotation,10-20,8,22.2,Mg_ha,Walkley and Black,"Rice, Mung bean, Maize",Fluvisols,NA,2
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – chemical fertilizer (13.5 kg N/ha + 6 kg P/ha + 11.2 kg K/ha) + 1.5 Mg compost/ha,0-30,1,22.324,Mg_ha,Not reported,Rice,Alfisols,NA,NA
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – 10 Mg biochar/ha,0-30,1,22.351,Mg_ha,Not reported,Rice,Alfisols,NA,NA
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,40-60,NA,22.38157895,Mg_ha,CN analyzer,NA,Acrisols,NA,600
68,2013,3.774,113.744,Rumah Ulat,Malaysia,Land use,Perennial,Monocrop,0-20,15,22.472,Mg_ha,Isotope ratio mass spectrometry (IRMS),Oil palm,Ultisols,8.5,100
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Rotation,10-20,5,22.48704663,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
